Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Service_Category
16204,TPTY-MAS EXP,TIRUPATI,CHENNAI CENTRAL,SATURDAY,Weekend
16205,TLGP-MYS INT,TALGUPPA,MYSORE JN.,SATURDAY,Weekend
16217,MYS-SNSI EXP,MYSORE JN.,SAI NAGAR SHIRDI,SATURDAY,Weekend
16303,ERS-TVC VANC,ERNAKULAM. JN,TRIVANDRUM CENTRAL,SATURDAY,Weekend
16315,SBC-KCVL EXP,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),KOCHUVELI,SATURDAY,Weekend
16340,NCJ-CSMT EXP,NAGERCOIL JN.,CST-MUMBAI,SATURDAY,Weekend
16341,GUV-TVC INTE,GURUVAYUR,TRIVANDRUM CENTRAL,SATURDAY,Weekend
16348,MAQ-TVC EXPR,MANGALORE CENTRAL,TRIVANDRUM CENTRAL,SATURDAY,Weekend
16351,CSMT- NCJ EX,CST-MUMBAI,NAGERCOIL JN.,SATURDAY,Weekend
16352,NCJ-CSMT EXP,NAGERCOIL JN.,CST-MUMBAI,SATURDAY,Weekend
16359,ERS PATNA EX,ERNAKULAM. JN,PATNA JN.,SATURDAY,Weekend
16505,GIMB SBC EXP,GANDHIDHAM JN.,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SATURDAY,Weekend
16515,YPR-MAQ EXPR,YESVANTPUR JN.,KAWR,SATURDAY,Weekend
16517,SBC-CAN-KAWR,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),KANNUR,SATURDAY,Weekend
16522,SBC-BWT EXP,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),BANGARPET JN.,SATURDAY,Weekend
16531,GARIB NAWAJ,AJMER JN.,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),SATURDAY,Weekend
