Source_Station_Name,Destination_Station_Name,Train_Count
TIRUCHENDUR,TIRUNELVELI JN,4
INDARA JN.,DOHRIGHAT,4
SAHARSA JN.,AMRITSAR JN.,4
VIJAYWADA JN.,MACHILIPATNAM,4
MANOHARABAD,SECUNDERABAD JN.,4
ANDAL JN.,SAINTHIA JN.,4
MAHESANA JN,PATAN,4
GORAKHPUR JN.,GONDA JN.,4
MAYILADUTURAI JN.,TIRUCHIRAPPALLI JN.,4
LUDHIANA JN.,LOHIAN KHAS JN.,4
MARIKUPPAM,BANGARPET JN.,4
CHENNAI BEACH,GUMMIDIPUNDI,4
CHAMRAJANAGAR,MYSORE JN.,4
VIJAYWADA JN.,GUNTUR JN.,4
MARIKUPPAM,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),4
AZIMGANJ JN.,RAMPUR HAT,4
ANUPGARH,SURATGARH JN.,4
GONDA JN.,GORAKHPUR JN.,4
SURATGARH JN.,ANUPGARH,4
MEMARI,HOWRAH JN.,4
BILASPUR JN.,GEVRA-ROAD,4
DOMBIVLI,DADAR,4
COIMBATORE  JN.,METTUPALAIYAM JN.,4
DOHRIGHAT,INDARA JN.,4
SHRI GANGANAGAR,SURATGARH JN.,4
MYSORE JN.,CHAMRAJANAGAR,4
HAZRAT NIZAMUDDIN JN,BANDRA TERMINUS,4
PUNE JN.,DAUND JN.,4
RATLAM JN,MHOW,4
ANAND VIHAR TERMINAL,RAXAUL JN.,4
MASAGRAM,HOWRAH JN.,4
RAXAUL JN.,ANAND VIHAR TERMINAL,4
CHANDANPUR,HOWRAH JN.,4
QUILON,CHENNAI CENTRAL,4
BHUBANESWAR,NEW DELHI,4
NAGBHIR JN.,ITWARI JN.,4
RAIPUR JN.,DONGAR GARH,4
HOWRAH JN.,CHANDANPUR,4
TIRUNELVELI JN,TIRUCHENDUR,4
ARAKKONAM JN,CHENNAI BEACH,4
BAIJNATH PAPROLA,PATHANKOT JN.,4
ROHTAK JN.,DELHI JN.,4
KATIHAR JN.,RADHIKAPUR,4
ARAKKONAM JN,VELACHEERY,4
SIWAN JN.,THAWE JN.,4
