Train_No,Train_Name,Source_Station_Name,Destination_Station_Name,days,Service_Category
54826,BARA-JU  PAS,BILARA,JODHPUR JN.,WEDNESDAY,Weekday
54833,JP HSR PASS,JAIPUR JN.,HISAR JN,SATURDAY,Weekend
54834,HSR JP PASS,HISAR JN,JAIPUR JN.,MONDAY,Weekday
54835,HSR-RE PAS.,HISAR JN,REWARI JN.,THURSDAY,Weekday
54836,RE-HSR PASS.,REWARI JN.,HISAR JN,WEDNESDAY,Weekday
54881,BME - MBF PA,BARMER,MUNABAO,FRIDAY,Weekday
54882,MBF - BME PA,MUNABAO,BARMER,SUNDAY,Weekend
55001,GKP-AY PASSE,GORAKHPUR JN.,AYODHYA,MONDAY,Weekday
55002,AY-GKP  PASS,AYODHYA,GORAKHPUR JN.,SATURDAY,Weekend
55007,PPTA-GKP PAS,PATLIPUTRA,GORAKHPUR JN.,MONDAY,Weekday
55008,GKP-PPTA PAS,GORAKHPUR JN.,PATLIPUTRA,SUNDAY,Weekend
55009,BTT-CPR- PAS,CHHAPRA JN.,BHATNI JN.,TUESDAY,Weekday
55010,CPR-BTT PASS,BHATNI JN.,CHHAPRA JN.,MONDAY,Weekday
55011,SV-GKP PASSE,SIWAN JN.,GORAKHPUR JN.,TUESDAY,Weekday
55012,GKP-SV PASSE,GORAKHPUR JN.,SIWAN JN.,WEDNESDAY,Weekday
55013,CPR-BSB PASS,CHHAPRA JN.,VARANASI CITY,FRIDAY,Weekday
55014,MUV-CPR PASS,VARANASI CITY,CHHAPRA JN.,FRIDAY,Weekday
55017,PR-MAU PASSA,CHHAPRA JN.,MAU JN.,SATURDAY,Weekend
55018,MAU-CPR PASS,MAU JN.,CHHAPRA JN.,TUESDAY,Weekday
55019,CPR-GKP PASS,CHHAPRA JN.,GORAKHPUR JN.,MONDAY,Weekday
55020,GKP-CPR PASS,GORAKHPUR JN.,CHHAPRA JN.,MONDAY,Weekday
55021,SPJ-SV PASSE,SAMASTIPUR JN.,SIWAN JN.,SATURDAY,Weekend
55022,SV-SPJ PASSE,SIWAN JN.,SAMASTIPUR JN.,SUNDAY,Weekend
55025,GKP-GD  PASS,GORAKHPUR JN.,GONDA JN.,MONDAY,Weekday
55026,GD-GKP PASSE,GONDA JN.,GORAKHPUR JN.,TUESDAY,Weekday
55027,GKP-GD PASSE,GORAKHPUR JN.,GONDA JN.,SATURDAY,Weekend
55028,GD-GKP  PASS,GONDA JN.,GORAKHPUR JN.,SUNDAY,Weekend
55029,NKE-GKP PASS,NARKATIAGANJ JN.,GORAKHPUR JN.,WEDNESDAY,Weekday
