Source_Station_Name,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,Average_Trains_Per_Day
DHONE JN,0,0,1,0,0,0,0,0.14285714285714285
DHRANGADHRA,0,0,1,0,1,1,0,0.42857142857142855
DHUBRI,0,0,0,1,0,1,0,0.2857142857142857
DHULE,1,0,0,0,0,1,1,0.42857142857142855
DHURI JN.,0,1,0,1,0,1,0,0.42857142857142855
DIAMOND HARBOUR,6,7,1,4,1,5,3,3.857142857142857
DIBRUGARH,2,3,2,1,1,2,2,1.8571428571428572
DIBRUGARH TOWN,0,1,1,1,0,3,0,0.8571428571428571
DIGHA FS,2,2,2,0,3,1,1,1.5714285714285714
DIGHA GHAT,0,2,0,0,0,0,0,0.2857142857142857
DILDARNAGAR JN,0,1,0,0,1,2,0,0.5714285714285714
DIMAPUR,1,0,0,0,1,0,1,0.42857142857142855
DINDIGUL JN,0,0,2,1,0,0,0,0.42857142857142855
DINHATA,0,0,1,0,0,0,0,0.14285714285714285
DIVA JN,0,2,2,0,2,0,1,1.0
DOHRIGHAT,2,1,0,1,0,0,0,0.5714285714285714
DOMBIVLI,3,7,4,4,5,6,4,4.714285714285714
DOMBIVLI CTL,1,0,0,0,0,0,0,0.14285714285714285
DONGAR GARH,0,0,1,1,0,2,1,0.7142857142857143
DORNAKAL JN.,0,1,0,0,1,1,0,0.42857142857142855
DULLABCHERRA,0,0,2,0,0,0,0,0.2857142857142857
DUM DUM JN.,0,0,0,1,1,1,1,0.5714285714285714
DUMDUM CANTONMENT,0,0,0,0,0,1,0,0.14285714285714285
DUMKA,2,1,0,0,2,0,0,0.7142857142857143
DURAUNDHA JN,0,1,2,3,0,0,2,1.1428571428571428
DURG,5,1,3,3,4,5,5,3.7142857142857144
DURGAPUR,0,0,0,0,1,0,0,0.14285714285714285
EDAMANN,1,0,0,0,0,0,2,0.42857142857142855
ENNORE,0,0,0,0,0,0,1,0.14285714285714285
ERNAKULAM. JN,4,6,8,2,9,8,3,5.714285714285714
ERODE JN.,1,1,3,1,3,1,3,1.8571428571428572
ETAH,0,0,1,1,0,0,0,0.2857142857142857
ETAWAH,0,1,0,1,0,4,0,0.8571428571428571
FAIZABAD JN.,2,2,1,1,1,2,2,1.5714285714285714
FALAKNUMA,4,13,4,7,6,6,8,6.857142857142857
FARRUKHABAD JN,1,1,1,1,3,1,1,1.2857142857142858
FARUKHNAGAR,0,0,1,1,1,1,2,0.8571428571428571
FATEHPUR,0,0,0,0,0,0,1,0.14285714285714285
FATEHPUR-SHEKHAWATI,0,0,0,1,0,0,0,0.14285714285714285
FATUHA,1,0,1,0,1,0,0,0.42857142857142855
FAZILKA JN.,4,1,2,0,2,3,0,1.7142857142857142
FIROZPUR CANTT JN.,6,2,8,5,3,2,2,4.0
FURKATING JN.,0,0,0,0,0,1,0,0.14285714285714285
GADAG JN.,0,0,0,1,0,0,0,0.14285714285714285
GADWAL,0,0,0,0,0,0,1,0.14285714285714285
GAJRAULA JN.,1,0,0,0,1,1,0,0.42857142857142855
GANDHIDHAM JN.,1,0,1,2,2,4,1,1.5714285714285714
GANDHIGRAM,0,1,1,0,0,1,1,0.5714285714285714
GANDHINAGAR CAPITAL,0,0,0,1,1,0,1,0.42857142857142855
GARBETA,0,0,1,0,0,0,1,0.2857142857142857
GARHI HARSARU JN.,0,1,0,0,0,0,1,0.2857142857142857
GARWA ROAD JN.,0,0,0,1,0,0,0,0.14285714285714285
GAYA JN.,3,4,4,5,7,4,3,4.285714285714286
GEDE,7,0,3,2,1,3,4,2.857142857142857
GEVRA-ROAD,0,4,1,1,0,0,0,0.8571428571428571
GHAT KOPAR,0,1,0,1,0,0,0,0.2857142857142857
GHATSILA,0,0,0,1,0,0,0,0.14285714285714285
GHAZIABAD JN.,5,3,4,5,3,4,2,3.7142857142857144
GHAZIPUR CITY,2,0,1,0,4,0,1,1.1428571428571428
GIRDIH,1,1,0,3,0,0,0,0.7142857142857143
GOBARDANGA,1,1,0,1,0,0,1,0.5714285714285714
GODHRA JN.,1,0,0,2,0,0,1,0.5714285714285714
GONDA JN.,1,2,1,1,0,0,3,1.1428571428571428
GONDIA JN.,2,2,2,1,5,6,3,3.0
GORAKHPUR JN.,10,9,11,8,16,6,7,9.571428571428571
GRAM MASAGRAM,2,1,1,0,0,0,1,0.7142857142857143
GUA,0,2,0,0,0,0,0,0.2857142857142857
GUDIVADA JN.,0,1,4,2,0,0,3,1.4285714285714286
GUDUM,0,0,1,0,0,0,0,0.14285714285714285
GUDUR JN.,0,1,0,1,0,2,1,0.7142857142857143
GULBARGA,2,0,1,0,1,0,2,0.8571428571428571
